Time;EMMcp16
0.03264;0
0.03958;0
0.04653;0
0.05347;0
0.06042;0.001
0.06736;0
0.07431;0
0.08125;0
0.08819;0
0.09514;0
0.10208;0
0.10903;0
0.11597;0
0.12292;0.001
0.12986;0.001
0.13681;0.001
0.14375;0.001
0.15069;0.001
0.15764;0.001
0.16458;0.001
0.17153;0.001
0.17847;0.001
0.18542;0.001
0.19236;0.001
0.19932;0.001
0.20626;0.001
0.21321;0.001
0.22015;0.001
0.22709;0.001
0.23404;0.001
0.24098;0.001
0.24793;0.001
0.25487;0.001
0.26182;0.001
0.26876;0.001
0.27571;0.001
0.28265;0.001
0.28959;0.001
0.29654;0.001
0.30348;0.001
0.31043;0.001
0.31737;0.001
0.32432;0.001
0.33126;0.00117
0.33821;0.00245
0.34515;0.00517
0.35209;0.00967
0.35904;0.01401
0.36598;0.01908
0.37293;0.02537
0.37987;0.03513
0.38682;0.04561
0.39376;0.05431
0.40071;0.05894
0.40765;0.06241
0.41459;0.06632
0.42155;0.07208
0.4285;0.07621
0.43544;0.07872
0.44238;0.08007
0.44933;0.08454
0.45627;0.09204
0.46322;0.1005
0.47016;0.10683
0.47711;0.11384
0.48405;0.12603
0.491;0.14575
0.49794;0.16813
0.50488;0.18912
0.51183;0.20807
0.51877;0.22841
0.52572;0.25041
0.53266;0.27097
0.53961;0.28825
0.54655;0.30496
0.5535;0.3263
0.56044;0.35315
0.56738;0.38128
0.57433;0.4059
0.58127;0.42817
0.58822;0.4517
0.59516;0.47928
0.60211;0.50829
0.60905;0.53724
0.616;0.56562
0.62294;0.59463
0.62988;0.62258
0.63683;0.64779
0.64378;0.66832
0.65073;0.68656
0.65767;0.70313
0.66462;0.72165
0.67156;0.74183
0.67851;0.76668
0.68545;0.79457
0.6924;0.82691
0.69934;0.86003
0.70628;0.89415
0.71323;0.9252
0.72017;0.95429
0.72712;0.9791
0.73406;1.00163
0.74101;1.02098
0.74795;1.03838
0.7549;1.05252
0.76184;1.06375
0.76878;1.07271
0.77573;1.08264
0.78267;1.09521
0.78962;1.11103
0.79656;1.12854
0.80351;1.148
0.81045;1.17097
0.8174;1.19881
0.82434;1.22975
0.83128;1.26001
0.83823;1.28627
0.84517;1.30954
0.85212;1.33207
0.85906;1.35578
0.86602;1.37872
0.87296;1.39963
0.87991;1.41885
0.88685;1.43921
0.8938;1.46154
0.90074;1.48538
0.90769;1.50777
0.91463;1.52736
0.92157;1.5426
0.92852;1.55558
0.93546;1.56667
0.94241;1.5777
0.94935;1.58677
0.9563;1.59646
0.96324;1.60727
0.97019;1.6226
0.97713;1.63961
0.98407;1.65812
0.99102;1.67522
0.99796;1.6929
1.00491;1.71744
1.01185;1.74068
1.0188;1.7655
1.02574;1.79205
1.03269;1.82024
1.03963;1.85
1.04657;1.88106
1.05352;1.91324
1.06046;1.94584
1.06741;1.97774
1.07435;2.00813
1.0813;2.03664
1.08824;2.06372
1.0952;2.0894
1.10214;2.1141
1.10909;2.13834
1.11603;2.16325
1.12297;2.18952
1.12992;2.21745
1.13686;2.2471
1.14381;2.27909
1.15075;2.31359
1.1577;2.3501
1.16464;2.38742
1.17159;2.42478
1.17853;2.46165
1.18547;2.49693
1.19242;2.52926
1.19936;2.55792
1.20631;2.58365
1.21325;2.60717
1.2202;2.62884
1.22714;2.64875
1.23409;2.66813
1.24103;2.68812
1.24797;2.70935
1.25492;2.73133
1.26186;2.75441
1.26881;2.77891
1.27575;2.80514
1.2827;2.83159
1.28964;2.85714
1.29659;2.88079
1.30353;2.90273
1.31049;2.92251
1.31743;2.94015
1.32437;2.95578
1.33132;2.97077
1.33826;2.98565
1.34521;3.00109
1.35215;3.01643
1.3591;3.03226
1.36604;3.04864
1.37299;3.06607
1.37993;3.0839
1.38687;3.1021
1.39382;3.12064
1.40076;3.14056
1.40771;3.16182
1.41465;3.18479
1.4216;3.20887
1.42854;3.23444
1.43549;3.2605
1.44243;3.28636
1.44937;3.3106
1.45632;3.33351
1.46326;3.35505
1.47021;3.37541
1.47715;3.39351
1.4841;3.40943
1.49104;3.42323
1.49799;3.43572
1.50493;3.44661
1.51187;3.45653
1.51882;3.46642
1.52576;3.47796
1.53272;3.49155
1.53966;3.50692
1.54661;3.52367
