Time;EMMcp16
0.03264;16.03
0.03958;15.87
0.04653;15.78
0.05347;15.7
0.06042;15.69
0.06736;15.7
0.07431;15.69
0.08125;15.69
0.08819;15.69
0.09514;15.67
0.10208;15.64
0.10903;15.63
0.11597;15.61
0.12292;15.6
0.12986;15.6
0.13681;15.62
0.14375;15.66
0.15069;15.68
0.15764;15.66
0.16458;15.72
0.17153;15.75
0.17847;15.78
0.18542;15.82
0.19236;15.83
0.19932;15.88
0.20626;15.84
0.21321;15.85
0.22015;15.88
0.22709;15.89
0.23404;15.9
0.24098;15.92
0.24793;15.95
0.25487;15.95
0.26182;15.98
0.26876;16.01
0.27571;16.03
0.28265;16.04
0.28959;16.05
0.29654;16.05
0.30348;16.06
0.31043;16.06
0.31737;16.06
0.32432;16.07
0.33126;16.08
0.33821;16.08
0.34515;16.09
0.35209;16.11
0.35904;16.12
0.36598;16.14
0.37293;16.14
0.37987;16.16
0.38682;16.17
0.39376;16.18
0.40071;16.19
0.40765;16.21
0.41459;16.22
0.42155;16.23
0.4285;16.24
0.43544;16.27
0.44238;16.28
0.44933;16.31
0.45627;16.3
0.46322;16.31
0.47016;16.33
0.47711;16.33
0.48405;16.36
0.491;16.36
0.49794;16.36
0.50488;16.37
0.51183;16.39
0.51877;16.38
0.52572;16.39
0.53266;16.4
0.53961;16.4
0.54655;16.39
0.5535;16.41
0.56044;16.42
0.56738;16.41
0.57433;16.42
0.58127;16.43
0.58822;16.46
0.59516;16.46
0.60211;16.46
0.60905;16.48
0.616;16.47
0.62294;16.49
0.62988;16.5
0.63683;16.5
0.64378;16.5
0.65073;16.5
0.65767;16.51
0.66462;16.48
0.67156;16.48
0.67851;16.47
0.68545;16.46
0.6924;16.47
0.69934;16.46
0.70628;16.44
0.71323;16.44
0.72017;16.43
0.72712;16.42
0.73406;16.42
0.74101;16.42
0.74795;16.43
0.7549;16.42
0.76184;16.42
0.76878;16.41
0.77573;16.41
0.78267;16.41
0.78962;16.41
0.79656;16.41
0.80351;16.4
0.81045;16.39
0.8174;16.4
0.82434;16.42
0.83128;16.42
0.83823;16.42
0.84517;16.4
0.85212;16.39
0.85906;16.37
0.86602;16.39
0.87296;16.37
0.87991;16.37
0.88685;16.41
0.8938;16.41
0.90074;16.43
0.90769;16.46
0.91463;16.44
0.92157;16.49
0.92852;16.47
0.93546;16.48
0.94241;16.5
0.94935;16.51
0.9563;16.51
0.96324;16.53
0.97019;16.51
0.97713;16.53
0.98407;16.52
0.99102;16.51
0.99796;16.52
1.00491;16.53
1.01185;16.54
1.0188;16.56
1.02574;16.56
1.03269;16.59
1.03963;16.65
1.04657;16.66
1.05352;16.65
1.06046;16.67
1.06741;16.65
1.07435;16.64
1.0813;16.63
1.08824;16.6
1.0952;16.61
1.10214;16.61
1.10909;16.6
1.11603;16.61
1.12297;16.63
1.12992;16.64
1.13686;16.65
1.14381;16.65
1.15075;16.64
1.1577;16.63
1.16464;16.63
1.17159;16.62
1.17853;16.61
1.18547;16.56
1.19242;16.54
1.19936;16.55
1.20631;16.52
1.21325;16.51
1.2202;16.5
1.22714;16.48
1.23409;16.48
1.24103;16.46
1.24797;16.45
1.25492;16.45
1.26186;16.44
1.26881;16.42
1.27575;16.43
1.2827;16.41
1.28964;16.42
1.29659;16.4
1.30353;16.39
1.31049;16.38
1.31743;16.38
1.32437;16.37
1.33132;16.37
1.33826;16.37
1.34521;16.37
1.35215;16.36
1.3591;16.35
1.36604;16.34
1.37299;16.35
1.37993;16.34
1.38687;16.33
1.39382;16.33
1.40076;16.33
1.40771;16.33
1.41465;16.32
1.4216;16.32
1.42854;16.32
1.43549;16.31
1.44243;16.31
1.44937;16.3
1.45632;16.31
1.46326;16.29
1.47021;16.29
1.47715;16.31
1.4841;16.29
1.49104;16.3
1.49799;16.29
1.50493;16.29
1.51187;16.28
1.51882;16.28
1.52576;16.27
1.53272;16.28
1.53966;16.26
1.54661;16.26
1.55355;16.27
1.5605;16.26
1.56744;16.25
1.57439;16.25
1.58133;16.28
1.58828;16.26
1.59522;16.25
1.60216;16.26
1.60911;16.25
1.61605;16.24
1.623;16.25
1.62994;16.23
1.63689;16.24
1.64383;16.22
1.65078;16.23
1.65772;16.22
1.66466;16.22
1.67161;16.2
1.67855;16.21
1.6855;16.22
1.69244;16.2
1.69939;16.21
1.70633;16.21
1.71328;16.21
1.72022;16.2
1.72716;16.21
1.73411;16.22
1.74105;16.2
1.748;16.2
1.75494;16.2
1.76189;16.21
1.76884;16.21
1.77579;16.2
1.78273;16.2
1.78968;16.21
1.79662;16.22
1.80356;16.21
1.81051;16.21
1.81745;16.22
1.8244;16.22
1.83134;16.23
1.83829;16.21
1.84523;16.21
1.85218;16.2
1.85912;16.2
1.86606;16.18
1.87301;16.16
1.87995;16.17
1.8869;16.17
1.89384;16.19
1.90079;16.19
1.90773;16.18
1.91468;16.17
